Ticker,Model,MAE,RMSE,Sharpe,Max_Drawdown,CAGR
GS,Linear,0.014238470808857775,0.019024806959642645,-0.923068164572885,-0.7814433728534059,-0.25214597551950757
GS,RandomForest,0.013200186613453313,0.01801225841138827,-0.6552134613257267,-0.7111384422346778,-0.19524975094942687
GS,GradientBoosting,0.013598515739679802,0.01958754881806965,-0.8410706447731164,-0.7720767331582823,-0.23512887138674643
GS,Polynomial,0.02888289751846769,0.046798974611134886,0.5364962578057105,-0.32087080643726695,0.11595528884539985
INTC,Linear,0.02029374434655384,0.02940213655557181,0.4804973374292584,-0.5299689125732696,0.1202095671018788
INTC,RandomForest,0.02007808824164278,0.0294269641518606,0.05323073072972697,-0.6815329199693265,-0.08119498952999138
INTC,GradientBoosting,0.019968242815143054,0.029490622481941144,-0.0468454838505174,-0.7241744433199079,-0.12155383604221914
INTC,Polynomial,0.021730377499575525,0.03184384081000382,-0.22862939494808043,-0.8707972058415019,-0.19268447875777517
JNJ,Linear,0.008152432148533588,0.011014967625427368,-0.12025687489742201,-0.2922487405989842,-0.03355873800917175
JNJ,RandomForest,0.008198284620423525,0.011125328906815318,-0.6421842235371102,-0.4884889442413204,-0.11450736925398641
JNJ,GradientBoosting,0.009483593402566005,0.012377820327062278,-0.6898810179848381,-0.508599620508758,-0.12153791003273551
JNJ,Polynomial,0.009829221255676417,0.014614992810024235,0.3340747428408057,-0.2233800401471454,0.042826758596172354
JPM,Linear,0.01366419307680445,0.018068490061690968,-0.5788680943813727,-0.6325555051073872,-0.15662464103267681
JPM,RandomForest,0.011878583585802668,0.016801972218297077,-0.75013566771321,-0.7267968125675286,-0.19090900455004667
JPM,GradientBoosting,0.011163819354734645,0.015620456788998224,-0.26064086596063574,-0.6021405945775533,-0.08879098450782519
JPM,Polynomial,0.024957299194582297,0.04090378303956447,0.7773310282358167,-0.27175610824829,0.17262538154736506
MCD,Linear,0.008597205198090636,0.011386722417564846,0.5510831500030449,-0.22299628981439767,0.08321394513472469
MCD,RandomForest,0.009070877787527439,0.012054977064025817,-0.5287295813344307,-0.47075925869602986,-0.10022432167508799
MCD,GradientBoosting,0.01258455696349529,0.015592642471544932,-0.6648862778887362,-0.5005537621230063,-0.12098704602158805
MCD,Polynomial,0.011925544082448954,0.01615409621999049,0.28354458269815613,-0.41150263103378115,0.03450418476967787
NVDA,Linear,0.0730104563546245,0.11163597127250742,0.27699152312495057,-0.5570637110195171,0.007967743747103961
NVDA,RandomForest,0.024854500845862937,0.033731092450053866,-0.39949227773508816,-0.9188033328343734,-0.29225046097058627
NVDA,GradientBoosting,0.04003411560000776,0.04852196331161605,-0.8651071860979442,-0.9672475077979734,-0.4448933110977361
NVDA,Polynomial,2.553741036992847,5.798348048986137,-0.12561207772919833,-0.7710697861266917,-0.18169397413000965
ORCL,Linear,0.021631446772231003,0.0339742641525711,0.20649128744687587,-0.4950104371823987,0.0016996954312682444
ORCL,RandomForest,0.01898714050653643,0.030395640205514152,-0.7015786732814167,-0.8811957056401196,-0.2955785850302697
ORCL,GradientBoosting,0.030098744594926403,0.05718117826236927,-0.0030086529679449344,-0.6291388402810183,-0.07067882942263148
ORCL,Polynomial,0.22496962141574786,0.8073583175650505,0.3252137239702079,-0.3833254726225621,0.05417829862985313
PFE,Linear,0.011973342718178955,0.016254174046731202,0.3684064477257378,-0.45668318322976864,0.0628911234814904
PFE,RandomForest,0.01196266793182189,0.016370123200396,0.519716061242008,-0.46050188174105844,0.10416021656786856
PFE,GradientBoosting,0.01180875439074574,0.016294327356529505,-0.2726033830680759,-0.5172748095230171,-0.09576274401438889
PFE,Polynomial,0.014415353246959405,0.021244343791144284,0.18934324325368104,-0.4257914951032933,0.01613737058024789
SBUX,Linear,0.012960723394274296,0.019675874286269622,0.7359828936453439,-0.4851143114989691,0.19876484056694688
SBUX,RandomForest,0.013020027059904165,0.019879397774679855,0.28934217037744414,-0.4553707627876947,0.04304335585115027
SBUX,GradientBoosting,0.013499788828040881,0.020629518983999885,-0.1584417172025615,-0.5392720852798902,-0.0923174041427034
SBUX,Polynomial,0.016660225753058748,0.02862793146036501,0.03564143181742688,-0.3863502851606986,-0.03751295471831728
T,Linear,0.010631231726187835,0.01495827246166845,0.25633023336047933,-0.33379397760804086,0.03334536083341466
T,RandomForest,0.010696456339286037,0.015105151304473728,0.0035832311293207057,-0.48013929002225897,-0.02614351514789548
T,GradientBoosting,0.010727915198515358,0.015204571445535678,0.08638902230902842,-0.3841843683174696,-0.007123516008398667
T,Polynomial,0.012583753203441194,0.021659758132280955,-0.03499267210413063,-0.5043135982921376,-0.03500407751862977
WMT,Linear,0.010498111163287416,0.014970424131673292,0.6378434773528321,-0.3547908341936916,0.11768858348981182
WMT,RandomForest,0.00917341749015717,0.01335202336179388,0.5422560357533274,-0.32343185105455186,0.0953981646843498
WMT,GradientBoosting,0.00933506210151942,0.01348978054571481,0.7678300273069116,-0.2664459170248652,0.14794525731966512
WMT,Polynomial,0.021035167640147158,0.038985268160680514,-0.285623105423132,-0.5465845095909396,-0.07807441404759874
XOM,Linear,0.013854236671023168,0.018028761968544884,0.22029850703365397,-0.5002624034340861,0.023265140838836684
XOM,RandomForest,0.014450070138044729,0.01862843014653692,0.7102779800037184,-0.4100570530768206,0.1682178211593126
XOM,GradientBoosting,0.019190185175425895,0.025968931768914533,-0.4297400548531269,-0.6378228441682837,-0.14167239769198037
XOM,Polynomial,0.021823039325854082,0.030390654278199713,-0.7344608885804615,-0.7059237822590573,-0.2095390694349326
